Date,Student_ID,Reason
2024-07-01,25049,Alarm clock did not ring
2024-07-01,25057,Bus arrived late
2024-07-01,24976,Bus arrived late
2024-07-02,25039,Heavy traffic
2024-07-02,25076,Missed the bus
2024-07-02,24734,Alarm clock did not ring
2024-07-03,25065,Overslept
2024-07-03,25092,Missed the bus
2024-07-03,24893,Missed the bus
2024-07-04,25036,Alarm clock did not ring
2024-07-04,25087,Public transport delay
2024-07-04,24958,Heavy traffic
2024-07-05,25014,Bus broke down
2024-07-05,24872,Public transport delay
2024-07-07,25097,Missed the bus
2024-07-07,24691,Alarm clock did not ring
2024-07-08,25018,Alarm clock did not ring
2024-07-08,25081,Heavy traffic
2024-07-08,24804,Bus broke down
2024-07-09,25033,Missed the bus
2024-07-09,25042,Public transport delay
2024-07-09,24987,Overslept
2024-07-10,25030,Bus arrived late
2024-07-10,25068,Overslept
2024-07-10,24632,Missed the bus
2024-07-11,25027,Public transport delay
2024-07-11,25084,Missed the bus
2024-07-11,24911,Heavy traffic
2024-07-12,25041,Bus broke down
2024-07-12,25063,Heavy traffic
2024-07-12,24833,Public transport delay
2024-07-14,25050,Alarm clock did not ring
2024-07-14,24990,Alarm clock did not ring
2024-07-15,25031,Missed the bus
2024-07-15,25088,Overslept
2024-07-15,25092,Missed the bus
2024-07-15,24785,Missed the bus
2024-07-16,25096,Public transport delay
2024-07-16,25099,Bus arrived late
2024-07-16,24679,Bus arrived late
2024-07-17,25032,Missed the bus
2024-07-17,25044,Heavy traffic
2024-07-17,24904,Heavy traffic
2024-07-18,25024,Public transport delay
2024-07-18,25093,Bus broke down
2024-07-18,24746,Public transport delay
2024-07-19,25058,Missed the bus
2024-07-19,25085,Alarm clock did not ring
2024-07-19,24953,Alarm clock did not ring
2024-07-21,25056,Public transport delay
2024-07-21,24723,Bus broke down
2024-07-22,25023,Heavy traffic
2024-07-22,25079,Bus arrived late
2024-07-22,24896,Overslept
2024-07-23,25047,Overslept
2024-07-23,25054,Alarm clock did not ring
2024-07-23,25092,Missed the bus
2024-07-23,24902,Missed the bus
