user_id,dt_transaction,type,amt
kkklubtayyy,2025-01-03 14:22:15,top-up,450
hackerman_teo,2025-01-07 16:45:32,deduction,-89.75
koh-world,2025-01-12 09:18:44,top-up,675
among-us,2025-01-14 11:28:17,top-up,320
kkklubtayyy,2025-01-15 20:33:21,deduction,-125.50
kawaii_markdash,2025-01-18 08:36:10,deduction,-8.5
koh-world,2025-01-19 11:27:18,deduction,-45.25
i-like-fortnite,2025-01-22 15:44:33,top-up,650
hackerman_teo,2025-01-24 13:52:09,top-up,320
xXRyan_NgXx,2025-01-26 17:29:46,deduction,-78.25
kkklubtayyy,2025-01-28 18:14:37,top-up,580
pro_gamer_ben,2025-01-30 10:18:52,top-up,425
koh-world,2025-02-02 08:39:55,top-up,890
i-must-stop-gaming,2025-02-04 14:33:21,deduction,-156.75
hackerman_teo,2025-02-06 15:21:43,deduction,-155.80
react_queen,2025-02-08 12:47:18,top-up,735
kkklubtayyy,2025-02-09 12:08:29,deduction,-98.25
swimmerz,2025-02-11 19:25:44,deduction,-92.50
koh-world,2025-02-14 19:47:12,deduction,-67.50
js_ninja_jason,2025-02-16 09:15:37,top-up,480
hackerman_teo,2025-02-18 10:35:58,top-up,425
420_coder_aaron,2025-02-20 16:42:29,deduction,-134.25
kkklubtayyy,2025-02-22 17:29:41,top-up,720
minecraft_legend,2025-02-24 13:58:15,top-up,890
koh-world,2025-02-27 14:16:33,top-up,1050
i-like-fortnite,2025-03-01 11:33:48,deduction,-87.75
hackerman_teo,2025-03-03 09:42:17,deduction,-112.90
among-us,2025-03-05 18:27:52,top-up,565
kkklubtayyy,2025-03-07 16:55:24,deduction,-83.75
i-like-fortnite,2025-03-08 13:44:25,deduction,-55.5
koh-world,2025-03-11 11:28:46,deduction,-34.25
kawaii_markdash,2025-03-13 15:18:39,top-up,425
among-us,2025-03-15 09:22:30,top-up,500
hackerman_teo,2025-03-16 18:13:52,top-up,380
kkklubtayyy,2025-03-18 12:15:44,top-up,638
kkklubtayyy,2025-03-20 13:47:08,top-up,625
hackerman_teo,2025-03-22 18:29:17,top-up,400
koh-world,2025-03-24 08:22:35,top-up,775
kkklubtayyy,2025-03-25 21:08:36,deduction,-65
xXRyan_NgXx,2025-03-28 14:18:45,deduction,-150.75
hackerman_teo,2025-03-29 15:38:19,deduction,-78.50
i-like-fortnite,2025-03-30 19:42:33,deduction,-85.2
koh-world,2025-04-02 11:35:12,top-up,1200
kkklubtayyy,2025-04-03 12:14:27,deduction,-145.25
kawaii_markdash,2025-04-05 16:28:19,deduction,-111.1
react_queen,2025-04-07 10:15:42,deduction,-180
