Code,Course_Title ,Faculty,Level,Full_Time
AG-AB-1,Agricultural Business Management,Agriculture,BSc,1
AG-AG-1,Agriculture,Agriculture,BSc,1
AG-AS-3,Animal Science,Agriculture,BSc,1
AR-AA-2,Art,Arts,BA,1
AR-AE-1,Art & English Literature,Arts,BA,1
AR-AF-3,Art & Film and Theatre,Arts,BA,1
AR-AH-2,Art & History of Art,Arts,BA,1
AR-AP-2,Art & Philosophy,Arts,BA,1
AR-AS-2,Art & Psychology,Arts,BA,1
AR-AA-3,Ancient Art,Arts,MA,1
AR-FT-4,Film & Theatre,Arts,BA,1
AR-TT-3,Film Theatre or Television,Arts,MA,1
AR-FA-1,Fine Art,Arts,BA,1
AR-GC-3,Graphic Communication,Arts,BA,1
AR-TA-1,Theatre Arts Education and Deaf Studies,Arts,BA,1
CO-AC-3,Applied Computer Science,Computing,BSc,1
CO-AB-3,Applied Informatics - Biodiversity Informatics,Computing,MSc,1
CO-CI-4,Applied Informatics - Construction Informatics,Computing,MSc,1
CO-AT-4,Applied Information Technology,Computing,BSc,1
CO-AI-2,Artificial Intelligence and Cybernetics,Computing,BSc,1
CO-AC-4,Artificial Intelligence and Cybernetics,Computing,MEng,1
CO-CS-2,Computer Science,Computing,BSc,1
CO-CY-2,Cybernetics,Computing,MEng,1
CO-CZ-3,Cybernetics,Computing,MSc,1
CO-DS-3,Digital Signal Processing and Communications,Computing,MSc,1
CO-EE-3,Electronic Engineering,Computing,BEng,1
CO-EF-3,Electronic Engineering,Computing,MEng,1
CO-IA-4,Informatics ,Computing,MSc,0
CO-IR-3,Informatics by Research,Computing,MSc,1
CO-ID-4,Information Design,Computing,MA,1
CO-IM-3,Information Management and Systems,Computing,MSc,1
CO-IT-1,Information Technology,Computing,BSc,1
CO-IB-3,Intelligent Buildings,Computing,MSc,1
CO-PM-2,Project Management,Computing,MSc,1
CO-PN-1,Project Management,Computing,MSc,0
CO-RO-3,Robotics,Computing,BSc,1
CO-RP-1,Robotics,Computing,MEng,1
CO-BS-3,Building Surveying,Construction,BSc,1
CO-BE-4,Built Environment Management,Construction,BSc,1
CO-CC-1,Construction Cost Management,Construction,MSc,1
